SUBSET,QUESTION,A,B,C,D,E,TRUE
B0B36PJV,"Jaký je význam klíčového slova 'static'?","Označuje konstantu","Patří instanci","Patří třídě","Umožňuje dědičnost","Zajišťuje synchronizaci",C
B0B36PJV,"Co je to konstruktor?","Metoda pro inicializaci","Funkce pro smazání","Typ proměnné","Statická metoda","Žádná z výše uvedených",A
B0B36PJV,"Co porovnává '==' u objektů?","Hodnoty","Reference","Typy","Velikosti","Není definováno",B
B0B36PJV,"Co je polymorfismus?","Více forem objektu","Více tříd","Skrývání dat","Statické metody","Žádná z výše uvedených",A
B0B36PJV,"Co znamená 'final' u třídy?","Nelze ji měnit","Nelze ji dědit","Nelze ji instancovat","Má pouze statické metody","Žádná z výše uvedených",B
B0B36PJV,"Co je rozhraní (interface)?","Třída bez metod","Abstraktní třída","Smlouva pro implementaci","Statická třída","Proměnná",C
B0B36PJV,"Na co odkazuje 'super'?","Aktuální instanci","Nadtřídu","Statickou metodu","Balíček","Žádná z výše uvedených",B
B0B36PJV,"Co je výjimka?","Chyba syntaxe","Narůstající událost","Typ proměnné","Metoda","Žádná z výše uvedených",B
B0B36PJV,"Co dělá 'throw'?","Deklaruje výjimku","Vyvolá výjimku","Ošetří výjimku","Ignoruje výjimku","Žádná z výše uvedených",B
B0B36PJV,"Co je garbage collection?","Ruční uvolnění paměti","Automatické uvolnění paměti","Třídění objektů","Správa tříd","Žádná z výše uvedených",B
B0B36PJV,"Na co odkazuje 'this'?","Nadtřídu","Aktuální instanci","Statickou proměnnou","Metodu","Žádná z výše uvedených",B
B0B36PJV,"Co je abstraktní třída?","Třída bez metod","Třída, kterou nelze instancovat","Statická třída","Třída s rozhraním","Žádná z výše uvedených",B
B0B36PJV,"Co je rozdíl mezi ArrayList a LinkedList?","ArrayList je pole, LinkedList je seznam","LinkedList je pole, ArrayList je seznam","Obě jsou pole","Obě jsou seznamy","Žádný rozdíl",A
B0B36PJV,"Co je serializace?","Převod na bajty","Třídění dat","Ukládání proměnných","Mazání objektů","Žádná z výše uvedených",A
B0B36PJV,"Co znamená 'volatile'?","Nestálá proměnná","Konstantní proměnná","Synchronizovaná proměnná","Privátní proměnná","Žádná z výše uvedených",A
B0B36PJV,"Co je anotace?","Komentář","Metadata","Typ dat","Metoda","Žádná z výše uvedených",B
B0B36PJV,"Kdo má přístup k 'protected'?","Jen třída","Odkudkoliv","Balíček a podtřídy","Jen instance","Žádná z výše uvedených",C
B0B36PJV,"Co je lambda výraz?","Anonymní funkce","Statická metoda","Třída","Proměnná","Žádná z výše uvedených",A
B0B36PJV,"Co dělá 'synchronized'?","Zajišťuje jedno vlákno","Označuje konstantu","Dědí třídu","Mazá paměť","Žádná z výše uvedených",A
B0B36PJV,"Co je enumerace (enum)?","Seznam konstant","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi StringBuilder a StringBuffer?","StringBuilder je rychlejší","StringBuffer je rychlejší","StringBuilder je synchronizovaný","StringBuffer je nesynchronizovaný","Žádný rozdíl",A
B0B36PJV,"Co jsou generika?","Typy pro třídy","Statické proměnné","Metody","Funkce","Žádná z výše uvedených",A
B0B36PJV,"Co znamená 'transient'?","Není serializováno","Je konstantní","Je synchronizováno","Je statické","Žádná z výše uvedených",A
B0B36PJV,"Co je reflexe?","Zkoumání struktury","Třídění dat","Mazání objektů","Vytváření tříd","Žádná z výše uvedených",A
B0B36PJV,"Co jsou 'checked' výjimky?","Musí být ošetřeny","Nemusí být ošetřeny","Jsou statické","Jsou runtime","Žádná z výše uvedených",A
B0B36PJV,"Co je stream?","Tok dat","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co dělá 'assert'?","Testuje předpoklady","Označuje konstantu","Dědí třídu","Maže paměť","Žádná z výše uvedených",A
B0B36PJV,"Co je kolekce framework?","Sada tříd pro data","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi HashMap a TreeMap?","HashMap řadí, TreeMap ne","TreeMap řadí, HashMap ne","Obě řadí","Obě neřadí","Žádný rozdíl",B
B0B36PJV,"Co je funkcionální rozhraní?","Jedna abstraktní metoda","Více metod","Statická metoda","Žádná metoda","Žádná z výše uvedených",A
B0B36PJV,"Co znamená 'default' v rozhraní?","Výchozí implementace","Konstanta","Přístup","Dědičnost","Žádná z výše uvedených",A
B0B36PJV,"Co je modul?","Jednotka kódu","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi Comparable a Comparator?","Comparable je přirozené, Comparator je vlastní","Comparator je přirozené, Comparable je vlastní","Obě jsou přirozené","Obě jsou vlastní","Žádný rozdíl",A
B0B36PJV,"Co je '@Override'?","Přepisuje metodu","Označuje konstantu","Dědí třídu","Maže paměť","Žádná z výše uvedených",A
B0B36PJV,"Co znamená 'strictfp'?","Přesnost float","Konstanta","Přístup","Dědičnost","Žádná z výše uvedených",A
B0B36PJV,"Co je JVM?","Virtuální stroj","Vizualizace","Paměť","Monitor","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi JDK a JRE?","JDK pro vývoj, JRE pro běh","JRE pro vývoj, JDK pro běh","Obě pro vývoj","Obě pro běh","Žádný rozdíl",A
B0B36PJV,"Co je classpath?","Cesta k třídám","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co znamená 'package'?","Balíček třídy","Konstanta","Přístup","Dědičnost","Žádná z výše uvedených",A
B0B36PJV,"Co je JAR?","Archiv tříd","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi final, finally a finalize?","final je konstanta, finally je blok, finalize je metoda","finally je konstanta, final je blok, finalize je metoda","Vše stejné","Žádný rozdíl","Žádná z výše uvedených",A
B0B36PJV,"Co je assertion?","Test předpokladů","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co znamená 'native'?","Nativní kód","Konstanta","Přístup","Dědičnost","Žádná z výše uvedených",A
B0B36PJV,"Co je JNI?","Nativní rozhraní","Síťové rozhraní","Integrace","Monitor","Žádná z výše uvedených",A
B0B36PJV,"Co je design pattern?","Šablona řešení","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co znamená 'abstract'?","Abstraktní třída/metoda","Konstanta","Přístup","Dědičnost","Žádná z výše uvedených",A
B0B36PJV,"Co je singleton?","Jedna instance","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi composition a aggregation?","Composition je silnější","Aggregation je silnější","Obě stejné","Žádný rozdíl","Žádná z výše uvedených",A
B0B36PJV,"Co je dependency injection?","Vkládání závislostí","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co dělá 'instanceof'?","Testuje typ","Označuje konstantu","Dědí třídu","Maže paměť","Žádná z výše uvedených",A
B0B36PJV,"Co je immutable objekt?","Není měnitelný","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi shallow a deep copy?","Shallow kopíruje reference, deep hodnoty","Deep kopíruje reference, shallow hodnoty","Obě kopírují reference","Obě kopírují hodnoty","Žádný rozdíl",A
B0B36PJV,"Co je marker interface?","Rozhraní bez metod","Rozhraní s metodou","Statická třída","Proměnná","Žádná z výše uvedených",A
B0B36PJV,"Co je deadlock?","Vzájemné čekání vláken","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi wait() a sleep()?","wait() uvolňuje zámek","sleep() uvolňuje zámek","Obě uvolňují zámek","Obě neuvolňují zámek","Žádný rozdíl",A
B0B36PJV,"Co je thread pool?","Skupina vláken","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je race condition?","Závislost na pořadí","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi Runnable a Callable?","Runnable vrací výsledek","Callable vrací výsledek","Obě vrací výsledek","Obě nevrací výsledek","Žádný rozdíl",B
B0B36PJV,"Co je fork/join framework?","Paralelní zpracování","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je semaphore?","Řízení přístupu","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi Lock a synchronized?","Lock je flexibilnější","Synchronized je flexibilnější","Obě stejné","Žádný rozdíl","Žádná z výše uvedených",A
B0B36PJV,"Co je condition variable?","Signalizace mezi vlákny","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co dělá 'yield'?","Uvolňuje procesor","Označuje konstantu","Dědí třídu","Maže paměť","Žádná z výše uvedených",A
B0B36PJV,"Co je thread local storage?","Paměť pro vlákno","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi daemon a user vlákny?","Daemon běží na pozadí","User běží na pozadí","Obě na pozadí","Obě ne na pozadí","Žádný rozdíl",A
B0B36PJV,"Co je interrupt?","Přerušení vlákna","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co dělá 'join'?","Čeká na dokončení","Označuje konstantu","Dědí třídu","Maže paměť","Žádná z výše uvedených",A
B0B36PJV,"Co je executor service?","Správa vláken","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi submit a execute?","Submit vrací Future","Execute vrací Future","Obě vrací Future","Obě nevrací Future","Žádný rozdíl",A
B0B36PJV,"Co je scheduled executor service?","Plánování úloh","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je completable future?","Asynchronní programování","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi thenApply a thenAccept?","thenApply vrací hodnotu","thenAccept vrací hodnotu","Obě vrací hodnotu","Obě nevrací hodnotu","Žádný rozdíl",A
B0B36PJV,"Co je parallel stream?","Paralelní zpracování","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je reduction v streamu?","Kombinování prvků","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi map a flatMap?","map transformuje, flatMap zplošťuje","flatMap transformuje, map zplošťuje","Obě transformují","Obě zplošťují","Žádný rozdíl",A
B0B36PJV,"Co je collector v streamu?","Sběr výsledků","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co dělá 'groupingBy'?","Skupiny podle klíče","Označuje konstantu","Dědí třídu","Maže paměť","Žádná z výše uvedených",A
B0B36PJV,"Co je partitioningBy?","Dělí na dvě skupiny","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi reduce a collect?","reduce kombinuje, collect sbírá","collect kombinuje, reduce sbírá","Obě kombinují","Obě sbírají","Žádný rozdíl",A
B0B36PJV,"Co je optional?","Volitelná hodnota","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co dělá 'ifPresent'?","Akce, pokud hodnota je","Označuje konstantu","Dědí třídu","Maže paměť","Žádná z výše uvedených",A
B0B36PJV,"Co je orElse?","Vrací jinou hodnotu","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi orElse a orElseGet?","orElseGet je funkce","orElse je funkce","Obě jsou funkce","Obě nejsou funkce","Žádný rozdíl",A
B0B36PJV,"Co je method reference?","Zkratka pro metodu","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co znamená '::'?","Odkaz na metodu","Konstanta","Přístup","Dědičnost","Žádná z výše uvedených",A
B0B36PJV,"Co je constructor reference?","Odkaz na konstruktor","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi static a instance metodou?","Static patří třídě","Instance patří třídě","Obě patří třídě","Obě patří instanci","Žádný rozdíl",A
B0B36PJV,"Co je functional interface?","Jedna abstraktní metoda","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je '@FunctionalInterface'?","Označuje funkcionální rozhraní","Konstanta","Přístup","Dědičnost","Žádná z výše uvedených",A
B0B36PJV,"Co je default metoda?","Výchozí implementace","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi abstract class a interface?","Abstract class má stav","Interface má stav","Obě mají stav","Obě nemají stav","Žádný rozdíl",A
B0B36PJV,"Co znamená 'extends'?","Dědí třídu","Označuje konstantu","Dědí třídu","Maže paměť","Žádná z výše uvedených",A
B0B36PJV,"Co je 'implements'?","Implementuje rozhraní","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi overloading a overriding?","Overloading je přetížení, overriding je přepsání","Overriding je přetížení, overloading je přepsání","Obě jsou přetížení","Obě jsou přepsání","Žádný rozdíl",A
B0B36PJV,"Co je class loader?","Načítání tříd","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je object?","Instance třídy","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je rozdíl mezi primitive a reference typy?","Primitive jsou základní, reference jsou odkazy","Reference jsou základní, primitive jsou odkazy","Obě jsou základní","Obě jsou odkazy","Žádný rozdíl",A
B0B36PJV,"Co je boxing?","Převod na objekt","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co znamená 'new'?","Nová instance","Konstanta","Přístup","Dědičnost","Žádná z výše uvedených",A
B0B36PJV,"Co je garbage collector?","Automatická správa paměti","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B0B36PJV,"Co je memory leak?","Neuvolněná paměť","Proměnná","Metoda","Třída","Žádná z výše uvedených",A
B4B35APO,Co je hlavní funkcí CPU v počítači?,Ukládání dat,Zpracování instrukcí,Správa paměti,Komunikace s periferními zařízeními,Grafické výpočty,B
B4B35APO,Jaký je rozdíl mezi RISC a CISC architekturou?,RISC má více instrukcí,CISC má složitější instrukce,RISC je starší,CISC je pomalejší,RISC nemá registry,B
B4B35APO,Co je pipelining v CPU?,Paralelní zpracování instrukcí,Snížení spotřeby energie,Organizace paměti,Zvýšení kapacity registrů,Zrychlení I/O operací,A
B4B35APO,Kolik fází má typický RISC pipeline?,2,3,4,5,6,D
B4B35APO,Co je superskalární procesor?,Procesor s více jádry,Procesor vykonávající více instrukcí za takt,Procesor s velkou cache,Procesor pro grafiku,Procesor s nízkou spotřebou,B
B4B35APO,Co je účelem cache paměti?,Dlouhodobé ukládání dat,Zrychlení přístupu k datům,Ukládání instrukcí,Virtuální paměť,Paměť pro grafiku,B
B4B35APO,Co je lokalita reference?,Sekvenční přístup k datům,Opakovaný přístup k nedávným datům,Metoda alokace paměti,Komprese dat,Organizace stránek,B
B4B35APO,Co je virtuální paměť?,Fyzická paměť v počítači,Technika pro rozšíření paměti,Typ cache,Paměť pro grafiku,Dočasná paměť,B
B4B35APO,Co je datová sběrnice?,Přenos dat mezi CPU a pamětí,Přenos adres,Přenos řídicích signálů,Přenos dat k I/O,Všechny výše uvedené,A
B4B35APO,Co je taktovací frekvence?,Počet instrukcí za sekundu,Počet taktů za sekundu,Doba jedné instrukce,Počet bitů za takt,Rychlost sběrnice,B
B4B35APO,Jaký je účel adresní sběrnice?,Přenos dat,Přenos adres paměti,Řízení paměti,Synchronizace CPU,Přenos instrukcí,B
B4B35APO,Co je DMA?,CPU přímo přistupuje k paměti,I/O přistupuje k paměti bez CPU,Komunikace CPU s periferiemi,Zrychlení paměti,Snížení latence I/O,B
B4B35APO,Co je logické hradlo?,Provádí logickou operaci,Ukládá bit,Provádí aritmetiku,Převádí signály,Synchronizuje signály,A
B4B35APO,Co je funkce hradla AND?,Výstup 1 při jednom vstupu 1,Výstup 1 při obou vstupech 1,Výstup 1 při různých vstupech,Negace vstupu,Výstup 1 při obou 0,B
B4B35APO,Co je hazard v pipeliningu?,Dvě instrukce sdílí registr,Instrukce závisí na předchozí,Pipeline je plný,Chyba v paměti,Úsporný režim,B
B4B35APO,Která technika zvyšuje výkon CPU?,Pipelining,Jeden dlouhý takt,Více paměti,Snížení frekvence,Jednoduché instrukce,A
B4B35APO,Co je CPI?,Počet instrukcí za takt,Počet taktů na instrukci,Počet taktů za sekundu,Rychlost paměti,Počet registrů,B
B4B35APO,Jak funguje přerušení?,CPU kontroluje I/O,I/O signalizuje CPU,CPU spustí obslužnou rutinu,Obě B a C,Žádné z výše uvedených,D
B4B35APO,Co je registr?,Sada flip-flopů,Typ cache,Část CPU pro aritmetiku,Paměť pro instrukce,Správa paměti,A
B4B35APO,Co je účelem MMU?,Správa cache,Překlad adres pro virtuální paměť,Správa registrů,Zrychlení I/O,Přenos dat,B
B4B35APO,Co je hlavní výhodou RISC?,Složitější instrukce,Jednodušší a rychlejší instrukce,Větší paměť,Pomalejší provádění,Více sběrnic,B
B4B35APO,Který prvek je nejrychlejší v hierarchii paměti?,Hlavní paměť,Cache,Registry,Sekundární úložiště,Virtuální paměť,C
B4B35APO,Co je funkce sběrnice?,Přenos dat a signálů,Převod analogových signálů,Správa CPU,Ukládání dat,Zvýšení frekvence,A
B4B35APO,Co měří MIPS?,Počet taktů za sekundu,Rychlost v milionech instrukcí za sekundu,Počet instrukcí za takt,Rychlost paměti,Výkon I/O,B
B4B35APO,Co je flip-flop?,Logické hradlo,Paměťový prvek pro 1 bit,Dekodér instrukcí,Hodinový signál,Převod dat,B
B4B35APO,Jaký je rozdíl mezi latch a flip-flop?,Latch je asynchronní,Latch je synchronní,Latch ukládá více bitů,Flip-flop je rychlejší,Žádný rozdíl,A
B4B35APO,Co je prostorová lokalita?,Opakovaný přístup k datům,Přístup k blízkým datům,Přístup k registrům,Správa paměti,Komprese dat,B
B4B35APO,Která jednotka dekóduje instrukce v CPU?,Řídicí jednotka,ALU,Registry,Cache,Paměť,A
B4B35APO,Co je režim burst v přenosu dat?,Přenos jednoho bajtu,Přenos více bajtů bez přerušení,Přenos s přerušením,Přenos při volné sběrnici,Přenos šifrovaný,B
B4B35APO,Jaký je vzorec pro efektivní dobu přístupu?,t_eff = h * t_cache + (1-h) * t_main,t_eff = t_cache + t_main,t_eff = t_cache * t_main,t_eff = (t_cache + t_main) / 2,t_eff = t_main / h,A
B4B35APO,Co je bus arbitráž?,Určení přístupu k sběrnici,Zrychlení přenosu dat,Snížení interference,Synchronizace sběrnice,Komunikace s CPU,A
B4B35APO,Která paměť je volatilní?,ROM,RAM,Cache,HDD,SSD,B
B4B35APO,Co je hlavní nevýhodou CISC?,Jednodušší instrukce,Složitější a pomalejší instrukce,Nízká spotřeba,Větší registry,Menší paměť,B
B4B35APO,Co je multi-core procesor?,Procesor s jedním jádrem,Procesor s více jádry,Procesor bez cache,Procesor pro I/O,Procesor s nízkou frekvencí,B
B4B35APO,Který mechanismus řeší konflikty na sběrnici?,Pipelining,Arbitráž,Přerušení,DMA,Cache,A
B4B35APO,Co je časová lokalita?,Přístup k blízkým datům,Opakovaný přístup k datům,Sekvenční přístup,Správa stránek,Komprese dat,B
B4B35APO,Kolik bitů adresuje 32bitová adresní sběrnice?,16,32,64,128,256,B
B4B35APO,Co je výhodou cache paměti?,Vyšší kapacita,Nízká latence,Větší trvanlivost,Nízká cena,Jednoduchá správa,B
B4B35APO,Co je hlavní úlohou ALU?,Logické operace,Přenos dat,Správa paměti,Ukládání instrukcí,Synchronizace CPU,A
B4B35APO,Co je propustnost CPU?,Počet instrukcí za čas,Doba jedné instrukce,Počet taktů na instrukci,Rychlost sběrnice,Počet chyb,A
B4B35APO,Která technika umožňuje přístup k paměti bez CPU?,Přerušení,Pipelining,DMA,Cache,Arbitráž,C
B4B35APO,Co je role řídicí sběrnice?,Přenos dat,Přenos adres,Přenos řídicích signálů,Přenos instrukcí,Přenos I/O,C
B4B35APO,Jaký je význam hodinového signálu?,Synchronizace operací,Zvýšení kapacity,Přenos dat,Správa paměti,Ukládání bitů,A
B4B35APO,Co je nevýhodou virtuální paměti?,Vyšší rychlost,Vyšší složitost,Nízká kapacita,Nízká cena,Jednoduchá správa,B
B4B35APO,Který prvek CPU provádí aritmetické operace?,Řídicí jednotka,ALU,Registry,Cache,Paměť,B
B4B35APO,Co je příčinou pipeline stall?,Není dost dat,Hazard při zpracování,Nízká frekvence,Plná cache,Nízká kapacita,B
B4B35APO,Která paměť má nejnižší latenci?,RAM,Cache,Registry,HDD,SSD,C
B4B35APO,Co je úkolem stránkovací tabulky?,Mapování adres,Správa cache,Přenos dat,Zrychlení I/O,Ukládání instrukcí,A
B4B35APO,Kolik adres může adresovat 16bitová sběrnice?,256,1024,65536,1048576,16777216,C
B4B35APO,Co je výhodou superskalární architektury?,Nižší frekvence,Více instrukcí za takt,Nízká spotřeba,Jednodušší pipeline,Menší registry,B
B4B35APO,Který typ I/O je nejefektivnější pro velké přenosy?,Programované I/O,Přerušení,DMA,Cache,Pipelining,C
B4B35APO,Co je nevýhodou pipeliningu?,Vyšší rychlost,Možnost hazardů,Nízká spotřeba,Jednodušší design,Větší kapacita,B
B4B35APO,Jaký je rozdíl mezi RAM a ROM?,RAM je volatilní ROM ne,RAM je pomalejší,RAM je trvalá,ROM je volatilní,RAM je dražší,A
B4B35APO,Co je účelem prefetchingu?,Zrychlení I/O,Přednahrání dat do cache,Správa registrů,Přenos adres,Zvýšení frekvence,B
B4B35APO,Který parametr ovlivňuje výkon CPU?,Počet jader,Jeden dlouhý takt,Nízká cache,Nízká frekvence,Jednoduché I/O,A
B4B35APO,Co je associativní mapování v cache?,Přímé mapování,Plně associativní mapování,Sekvenční mapování,Random mapování,Hybridní mapování,B
B4B35APO,Který prvek ukládá stav procesoru?,Cache,Registry,Paměť,ALU,MMU,B
B4B35APO,Co je význam hit rate v cache?,Počet přístupů za sekundu,Poměr úspěšných přístupů,Nízká latence,Vysoká kapacita,Rychlost sběrnice,B
B4B35APO,Která technika zlepšuje paralelní zpracování?,Pipelining,Superskalární architektura,DMA,Přerušení,Cache,B
B4B35APO,Co je nevýhodou DMA?,Vyšší rychlost,Vyšší složitost,Nízká kapacita,Jednoduchá správa,Nízká latence,B
B4B35APO,Který typ paměti je nejpomalejší?,Registry,Cache,RAM,HDD,SSD,D
B4B35APO,Co je účelem bufferu v I/O?,Zrychlení CPU,Dočasné uložení dat,Správa paměti,Přenos adres,Zvýšení frekvence,B
B4B35APO,Jaký je význam latence?,Doba zpracování instrukce,Doba čekání na data,Počet taktů za sekundu,Rychlost sběrnice,Počet jader,B
B4B35APO,Který prvek CPU řídí provádění instrukcí?,ALU,Řídicí jednotka,Registry,Cache,MMU,B
B4B35APO,Co je výhodou multi-core CPU?,Nižší frekvence,Více paralelních úloh,Nízká spotřeba,Jednodušší design,Menší cache,B
B4B35APO,Který typ hazardu způsobuje čtení po zápisu?,Strukturální,Kontrolní,Datový,Přerušení,Paměťový,C
B4B35APO,Co je účelem řádků cache?,Zrychlení přístupu,Správa dat,Přenos adres,Ukládání instrukcí,Zvýšení kapacity,A
B4B35APO,Kolik taktů obvykle trvá instrukce bez pipeliningu?,1,2,3,4,5,D
B4B35APO,Co je nevýhodou velké cache?,Vyšší cena,Nízká latence,Vyšší rychlost,Nízká kapacita,Jednoduchá správa,A
B4B35APO,Který mechanismus zvyšuje efektivitu sběrnice?,Pipelining,Arbitráž,DMA,Přerušení,Cache,B
B4B35APO,Co je hlavní funkcí operační paměti?,Trvalé ukládání dat,Dočasné ukládání dat,Správa I/O,Převod signálů,Zvýšení frekvence,B
B4B35APO,Který typ procesoru má méně instrukcí?,CISC,RISC,Superskalární,Multi-core,Single-core,B
B4B35APO,Co je význam frekvence sběrnice?,Rychlost přenosu dat,Nízká latence,Vyšší kapacita,Správa paměti,Ukládání instrukcí,A
B4B35APO,Který prvek zvyšuje rychlost I/O?,Cache,Přerušení,DMA,Pipelining,Registry,C
B4B35APO,Co je nevýhodou superskalárního procesoru?,Nižší rychlost,Vyšší složitost,Nízká spotřeba,Jednodušší design,Menší cache,B
B4B35APO,Která paměť je nejblíže CPU?,RAM,Cache,Registry,HDD,SSD,C
B4B35APO,Co je účelem kontrolního bitu?,Synchronizace,Přenos dat,Řízení operací,Správa paměti,Ukládání instrukcí,C
B4B35APO,Kolik bitů je potřeba pro adresování 1 MB paměti?,16,20,24,32,64,B
B4B35APO,Co je výhodou přímého mapování cache?,Nižší složitost,Vyšší rychlost,Nízká cena,Vyšší kapacita,Jednoduchá správa,A
B4B35APO,Který typ I/O vyžaduje nejvíce zásahů CPU?,Programované I/O,Přerušení,DMA,Cache,Pipelining,A
B4B35APO,Co je nevýhodou RISC architektury?,Složitější instrukce,Větší počet instrukcí,Nízká spotřeba,Vyšší rychlost,Menší registry,B
B4B35APO,Který prvek ukládá dočasná data během výpočtů?,Cache,Registry,RAM,HDD,SSD,B
B4B35APO,Co je účelem predikce větvení?,Zrychlení pipeliningu,Správa paměti,Přenos dat,Zvýšení frekvence,Ukládání instrukcí,A
B4B35APO,Kolik úrovní má typická paměťová hierarchie?,2,3,4,5,6,C
B4B35APO,Co je výhodou paralelní sběrnice?,Nižší rychlost,Vyšší propustnost,Nízká cena,Jednodušší design,Menší kapacita,B
B4B35APO,Který typ paměti je nejdražší za bajt?,Registry,Cache,RAM,HDD,SSD,A
B4B35APO,Co je nevýhodou přerušení?,Vyšší rychlost,Přerušení běžícího programu,Nízká spotřeba,Jednodušší správa,Větší kapacita,B
B4B35APO,Který prvek CPU komunikuje s pamětí?,ALU,Řídicí jednotka,MMU,Cache,Registry,C
B4B35APO,Co je účelem synchronizace sběrnice?,Zrychlení přenosu,Správa přístupu,Zvýšení kapacity,Přenos dat,Ukládání instrukcí,B
B4B35APO,Kolik bajtů adresuje 8bitová sběrnice?,128,256,512,1024,2048,B
B4B35APO,Co je výhodou virtuální paměti?,Nižší rychlost,Větší dostupná paměť,Nízká cena,Jednodušší design,Menší latence,B
B4B35APO,Který typ procesoru je optimalizován pro paralelní úlohy?,CISC,RISC,Multi-core,Superskalární,Single-core,C
B4B35APO,Co je nevýhodou associativní cache?,Nižší rychlost,Vyšší složitost,Nízká cena,Jednodušší správa,Menší kapacita,B
B4B35APO,Který prvek zvyšuje rychlost přístupu k datům?,Cache,Přerušení,DMA,Pipelining,Registry,A
B4B35APO,Co je účelem hodin v CPU?,Synchronizace operací,Přenos dat,Správa paměti,Ukládání instrukcí,Zvýšení kapacity,A
B4B35APO,Kolik bitů má standardní registr v 64bitovém procesoru?,16,32,64,128,256,C
B4B35APO,Co je výhodou DMA přenosu?,Nižší rychlost,Menší zátěž CPU,Nízká cena,Jednodušší design,Větší latence,B
B4B35APO,Který typ sběrnice přenáší adresy?,Datová,Adresní,Řídicí,Paralelní,Sériová,B
B4B35OSY,"Co je hlavní funkcí operačního systému?","Správa hardwaru a softwaru","Zajištění uživatelského rozhraní","Kompilace programů","Správa sítě","Vytváření databází",A
B4B35OSY,"Který z následujících není typ jádra OS?","Monolitické","Mikrojádrové","Hybridní","Distribuované","Sekvenční",E
B4B35OSY,"Co je systémové volání?","Příkaz pro spuštění programu","Požadavek na službu jádra OS","Přerušení od periferií","Funkce v uživatelském prostoru","Instrukce assembleru",B
B4B35OSY,"Jaký je rozdíl mezi procesem a vláknem?","Proces má vlastní adresní prostor, vlákno ho sdílí","Vlákno má vlastní adresní prostor, proces ne","Proces je lehčí než vlákno","Vlákno je nezávislé na procesech","Proces a vlákno jsou totéž",A
B4B35OSY,"Co umožňuje virtuální paměť?","Simulaci větší paměti pomocí disku","Fyzické zvětšení RAM","Sdílení paměti mezi uživateli","Zrychlení přístupu k datům","Eliminaci fragmentace",A
B4B35OSY,"Který algoritmus plánování je vhodný pro real-time systémy?","Round Robin","Shortest Job First","First Come First Served","Priority Scheduling","Rate Monotonic Scheduling",E
